RELATIONSHIP_ID,RELATIONSHIP_NAME,IS_HIERARCHICAL,DEFINES_ANCESTRY,REVERSE_RELATIONSHIP_ID,RELATIONSHIP_CONCEPT_ID
CI to,Contraindication to (NDF-RT),1,0,CI by,44818735
CMS Specialty - NUCC,CMS Specialty to NUCC (CMS),1,0,NUCC - CMS Specialty,44818935
Consists of,Consists of (RxNorm),1,0,Constitutes,44818818
Contained in panel,Contained in panel (LOINC),1,0,Panel contains,46233679
Contains,Contains (RxNorm),1,0,Contained in,44818721
CPT4 - SNOMED cat,CPT-4 to SNOMED category (OMOP),1,0,SNOMED cat - CPT4,44818803
Diagnosed through,Diagnosed through (NDF-RT),1,0,May diagnose,44818824
Domain subsumes,Domain subsumes (OMOP),1,0,Is domain,44818968
DRG - MDC cat,DRG to MDC category (CMS),1,0,MDC cat - DRG,44818938
Drug has drug class,Drug has drug class (OMOP),1,0,Drug class of drug,234
Version contains,OMOP CDM Version contains table/field (OMOP),1,0,Contained in version,32520
Has brand name,Has brand name (OMOP),1,0,Brand name of,221
Has chem structure,Has chemical structure (NDF-RT),1,0,Chem structure of,44818740
Has CI chem class,Has contraindicating chemical class (NDF-RT),1,0,CI chem class of,44818730
Has CI MoA,Has contraindicating mechanism of action (NDF-RT),1,0,CI MoA of,44818732
Has CI physio effect,Has contraindicating physiological effect (NDF-RT),1,0,CI physiol effect by,44818728
Has dose form group,Has dose form group (RxNorm),1,0,Dose form group of,5027
Has FDA-appr ind,Has FDA-approved drug indication (FDB),1,0,Is FDA-appr ind of,44818806
Has inferred class,Has inferred drug class (OMOP),1,0,Inferred class of,44818919
Has metabolism,Has site of metabolism (NDF-RT),1,0,Metabolism of,44818738
Has metabolites,Has active metabolites (NDF-RT),1,0,Metabolite of,44818737
Has MoA,Has mechanism of action (NDF-RT),1,0,MoA of,44818731
Has off-label ind,Has off-label drug indication (FDB),1,0,Is off-label ind of,44818807
Has physio effect,Has physiological effect (NDF-RT),1,0,Physiol effect by,44818727
Has PK,Has pharmacokinetics (NDF-RT),1,0,PK of,44818733
Has product comp,Has product component (NDF-RT),1,0,Product comp of,45754851
HCPCS - SNOMED meas,HCPCS is a SNOMED measurement (OMOP),1,0,SNOMED meas - HCPCS,44818967
HCPCS - SNOMED proc,HCPCS is a SNOMED procedure (OMOP),1,0,SNOMED proc - HCPCS,44818921
HOI - MedDRA,HOI contains MedDRA (OMOP),1,0,MedDRA - HOI,44818932
Induced by,Induced by (NDF-RT),1,0,Induces,44818823
Induces,Induces (NDF-RT),1,0,Induced by,44818725
Inhibits effect,Inhibits effect (NDF-RT),1,0,May be inhibited by,44818837
Is a,Is a,1,0,Subsumes,44818821
Is domain,Is a domain (OMOP),1,0,Domain subsumes,44818969
Marketed form of,Marketed form of (OMOP),1,0,Has marketed form,247
May be inhibited by,Effect may be inhibited by (NDF-RT),1,0,Inhibits effect,44818739
May diagnose,May diagnose (NDF-RT),1,0,Diagnosed through,44818726
May prevent,May prevent (NDF-RT),1,0,May be prevented by,44818736
May treat,May treat (NDF-RT),1,0,May be treated by,44818734
MedDRA - HOI,MedDRA contained in HOI (OMOP),1,0,HOI - MedDRA,44818933
Metabolism of,Site of metabolism of (NDF-RT),1,0,Has metabolism,44818836
Metabolite of,Active metabolite of (NDF-RT),1,0,Has metabolites,44818835
NDFRT dose form of,Dose form of (NDF-RT),1,0,NDFRT has dose form,44818822
NDFRT has dose form,Has dose form (NDF-RT),1,0,NDFRT dose form of,44818724
NDFRT has ing,Has ingredient (NDF-RT),1,0,NDFRT ing of,44818729
OPCS4 - SNOMED,OPCS4 to SNOMED equivalent or categorical (NHS),1,0,SNOMED - OPCS4,45956699
PK of,Pharmacokinetics of (NDF-RT),1,0,Has PK,44818831
PoS - Visit cat,Place of Service to Visit category (OMOP),1,0,Visit cat - PoS,44818941
RxNorm - CVX,RxNorm - CVX (OMOP),1,0,CVX - RxNorm,581402
RxNorm - DOI,RxNorm contained in DOI (OMOP),1,0,DOI - RxNorm,44818931
RxNorm - ETC,RxNorm to ETC (FDB),1,0,ETC - RxNorm,44818907
RxNorm - SPL,RxNorm to SPL (NLM),1,0,SPL - RxNorm,45754867
RxNorm dose form of,Dose form of (RxNorm),1,0,RxNorm has dose form,44818815
RxNorm has dose form,Has dose form (RxNorm),1,0,RxNorm dose form of,44818717
RxNorm has ing,Has ingredient (RxNorm),1,0,RxNorm ing of,44818719
RxNorm is a,Is a (RxNorm),1,0,RxNorm inverse is a,45754829
SNOMED - HOI,SNOMED contained in HOI (OMOP),1,0,HOI - SNOMED,44818929
ATC - RxNorm,ATC to RxNorm,0,1,RxNorm - ATC,44818810
ATC - RxNorm name,ATC to RxNorm equivalent by concept_name (OMOP),0,1,RxNorm - ATC name,44818926
Available as box,Is available in a prepackaged box (OMOP),1,1,Box of,223
Chem structure of,Chemical structure of (NDF-RT),1,1,Has chem structure,44818838
Constitutes,Constitutes (RxNorm),1,1,Consists of,44818720
Contained in,Is contained in (RxNorm),1,1,Contains,44818819
Contained in version,Table/field contained in OMOP CDM Version (OMOP),1,1,Version contains,32521
CVX - RxNorm,CVX - RxNorm (OMOP),1,1,RxNorm - CVX,581403
DOI - RxNorm,DOI contains RxNorm (OMOP),1,1,RxNorm - DOI,44818930
Dose form group of,Dose form group of (RxNorm),1,1,Has dose form group,5026
Drug class of drug,Drug class of drug (OMOP),1,1,Drug has drug class,233
ETC - RxNorm,ETC to RxNorm (FDB),1,1,RxNorm - ETC,44818809
ETC - RxNorm name,ETC to RxNorm equivalent by concept_name (OMOP),1,1,RxNorm - ETC name,44818924
Source - RxNorm eq,Drug Source to RxNorm equivalent (OMOP),0,1,RxNorm - Source eq,44818953
SPL - RxNorm,SPL to RxNorm (NLM),1,1,RxNorm - SPL,45754866
Subsumes,Subsumes,1,1,Is a,44818723
Therap class of,Therapeutic class of (NDF),1,1,Has therap class,44818913
Topic of,Topic of,1,1,Has Topic,581414
VAProd - RxNorm eq,VA Product to RxNorm equivalent (NDF-RT),0,1,RxNorm - VAProd eq,44818944
Visit cat - PoS,Visit category to Place of Service (OMOP),1,1,PoS - Visit cat,44818940
Has marketed form,Has marketed form (OMOP),1,1,Marketed form of,246
Has quantified form,Has quantified form (RxNorm),0,1,Quantified form of,45754827
Has tradename,Has tradename (RxNorm),0,1,Tradename of,44818716
HOI - SNOMED,HOI contains SNOMED (OMOP),1,1,SNOMED - HOI,44818928
Inferred class of,Inferred drug class of (OMOP),1,1,Has inferred class,44818918
Is FDA-appr ind of,Is FDA-approved indication of (FDB),1,1,Has FDA-appr ind,44818904
Is off-label ind of,Is off-label indication of (FDB),1,1,Has off-label ind,44818905
Is standard ing of,Is standard ingredient of ingredient (OMOP),1,1,Has standard ing,225
May be prevented by,May be prevented by (NDF-RT),1,1,May prevent,44818834
May be treated by,May be treated by (NDF-RT),1,1,May treat,44818832
MDC cat - DRG,MDC category to DRG (CMS),1,1,DRG - MDC cat,44818939
MedDRA - SNOMED eq,MedDRA to SNOMED equivalent (OMOP),0,1,SNOMED - MedDRA eq,44818805
MoA of,Mechanism of action of (NDF-RT),1,1,Has MoA,44818829
Module of,Module of,1,1,Has Module,581405
NDFRT - RxNorm eq,NDF-RT to RxNorm equivalent (RxNorm),1,1,RxNorm - NDFRT eq,44818741
NDFRT - RxNorm name,NDF-RT to RxNorm equivalent by concept_name (OMOP),1,1,RxNorm - NDFRT name,44818923
NDFRT ing of,Ingredient of (NDF-RT),1,1,NDFRT has ing,44818827
NUCC - CMS Specialty,NUCC to CMS Specialty (CMS),1,1,CMS Specialty - NUCC,44818934
Panel contains,Panel contains (LOINC),1,1,Contained in panel,46233678
Pharma prep in,Pharmaceutical preparation contained in (NDF),1,1,Has pharma prep,44818917
Physiol effect by,Physiological effect induced by (NDF-RT),1,1,Has physio effect,44818825
Product comp of,Product component of (NDF-RT),1,1,Has product comp,45754852
Reformulated in,Reformulated in (RxNorm),0,1,Reformulation of,44818820
RxNorm ing of,Ingredient of (RxNorm),1,1,RxNorm has ing,44818817
RxNorm inverse is a,Inverse is a (RxNorm),1,1,RxNorm is a,45754830
SNOMED - CPT4 eq,SNOMED to CPT-4 equivalent (OMOP),0,1,CPT4 - SNOMED eq,44818902
SNOMED - ICD9P eq,SNOMED to ICD-9-Procedure equivalent (OMOP),0,1,ICD9P - SNOMED eq,44818900
SNOMED - OPCS4,SNOMED to OPCS4 equivalent or categorical (NHS),1,1,OPCS4 - SNOMED,45956700
SNOMED cat - CPT4,SNOMED category to CPT-4 (OMOP),1,1,CPT4 - SNOMED cat,44818901
SNOMED meas - HCPCS,SNOMED measurement subsumes HCPCS (OMOP),1,1,HCPCS - SNOMED meas,44818966
SNOMED proc - HCPCS,SNOMED procedure subsumes HCPCS (OMOP),1,1,HCPCS - SNOMED proc,44818920
